s (1,1) 23
s (2,1) 113
s (3,1) 107
s (4,1) 62
s (5,1) 84
s (6,1) 140
s (7,1) 36
s (8,1) 66
s (9,1) 142
s (10,1) 124
s (11,1) 97
s (12,1) 112
s (13,1) 53
s (14,1) 83
s (15,1) 67
s (16,1) 95
s (17,1) 42
s (18,1) 124
s (19,1) 123
s (20,1) 122
s (21,1) 7
s (22,1) 40
s (23,1) 111
s (24,1) 33
s (25,1) 48
s (26,1) 13
s (27,1) 95
s (28,1) 86
s (29,1) 81
s (30,1) 109
s (31,1) 122
s (32,1) 124
s (33,1) 36
s (34,1) 63
s (35,1) 31
s (36,1) 114
s (37,1) 141
s (38,1) 85
s (39,1) 105
s (40,1) 18
s (41,1) 49
s (42,1) 4
s (43,1) 30
s (44,1) 125
s (45,1) 121
s (46,1) 42
s (47,1) 55
s (48,1) 117
s (49,1) 2
s (50,1) 110
s (51,1) 20
s (52,1) 76
s (53,1) 50
s (54,1) 107
s (55,1) 74
s (56,1) 11
s (57,1) 55
s (58,1) 116
s (59,1) 129
s (60,1) 121
s (61,1) 112
s (62,1) 1
s (63,1) 16
s (64,1) 24
s (65,1) 36
s (66,1) 33
s (67,1) 8
s (68,1) 117
s (69,1) 131
s (70,1) 13
s (71,1) 84
s (72,1) 121
s (73,1) 30
s (74,1) 67
s (75,1) 99
s (76,1) 91
s (77,1) 101
s (78,1) 42
s (79,1) 81
s (80,1) 99
s (81,1) 70
s (82,1) 98
s (83,1) 76
s (84,1) 112
s (85,1) 36
s (86,1) 132
s (87,1) 25
s (88,1) 53
s (89,1) 44
s (90,1) 24
s (91,1) 94
s (92,1) 38
s (93,1) 43
s (94,1) 70
s (95,1) 128
s (96,1) 137
s (97,1) 74
s (98,1) 34
s (99,1) 18
s (100,1) 139
s (101,1) 18
s (102,1) 92
s (103,1) 1
s (104,1) 40
s (105,1) 113
s (106,1) 90
s (107,1) 88
s (108,1) 118
s (109,1) 102
s (110,1) 9
s (111,1) 105
s (112,1) 17
s (113,1) 131
s (114,1) 103
s (115,1) 81
s (116,1) 68
s (117,1) 69
s (118,1) 48
s (119,1) 47
s (120,1) 35
s (121,1) 64
s (122,1) 144
s (123,1) 104
s (124,1) 11
s (125,1) 46
s (126,1) 90
s (127,1) 111
s (128,1) 34
s (129,1) 9
s (130,1) 109
s (131,1) 113
s (132,1) 9
s (133,1) 34
s (134,1) 85
s (135,1) 11
s (136,1) 27
s (137,1) 58
s (138,1) 97
s (139,1) 62
s (140,1) 32
s (141,1) 97
s (142,1) 135
s (143,1) 7
s (144,1) 140
s (145,1) 45
s (146,1) 54
s (147,1) 56
s (148,1) 72
s (149,1) 46
s (150,1) 149
s (151,1) 38
s (152,1) 89
s (153,1) 76
s (154,1) 126
s (155,1) 8
s (156,1) 117
s (157,1) 45
s (158,1) 13
s (159,1) 102
s (160,1) 113
s (161,1) 82
s (162,1) 71
s (163,1) 100
s (164,1) 42
s (165,1) 65
s (166,1) 106
s (167,1) 141
s (168,1) 75
s (169,1) 120
s (170,1) 90
(1,1) (1,2) 49
(2,1) (2,2) 44
(3,1) (3,2) 149
(4,1) (4,2) 126
(5,1) (5,2) 136
(6,1) (6,2) 83
(7,1) (7,2) 145
(8,1) (8,2) 53
(9,1) (9,2) 83
(10,1) (10,2) 103
(11,1) (11,2) 35
(12,1) (12,2) 109
(13,1) (13,2) 135
(14,1) (14,2) 22
(15,1) (15,2) 71
(16,1) (16,2) 133
(17,1) (17,2) 66
(18,1) (18,2) 116
(19,1) (19,2) 51
(20,1) (20,2) 117
(21,1) (21,2) 124
(22,1) (22,2) 117
(23,1) (23,2) 98
(24,1) (24,2) 55
(25,1) (25,2) 135
(26,1) (26,2) 30
(27,1) (27,2) 106
(28,1) (28,2) 143
(29,1) (29,2) 1
(30,1) (30,2) 111
(31,1) (31,2) 86
(32,1) (32,2) 130
(33,1) (33,2) 63
(34,1) (34,2) 124
(35,1) (35,2) 136
(36,1) (36,2) 56
(37,1) (37,2) 98
(38,1) (38,2) 74
(39,1) (39,2) 100
(40,1) (40,2) 17
(41,1) (41,2) 47
(42,1) (42,2) 143
(43,1) (43,2) 46
(44,1) (44,2) 148
(45,1) (45,2) 119
(46,1) (46,2) 131
(47,1) (47,2) 63
(48,1) (48,2) 88
(49,1) (49,2) 22
(50,1) (50,2) 94
(51,1) (51,2) 6
(52,1) (52,2) 134
(53,1) (53,2) 74
(54,1) (54,2) 33
(55,1) (55,2) 139
(56,1) (56,2) 20
(57,1) (57,2) 27
(58,1) (58,2) 101
(59,1) (59,2) 30
(60,1) (60,2) 150
(61,1) (61,2) 32
(62,1) (62,2) 145
(63,1) (63,2) 97
(64,1) (64,2) 60
(65,1) (65,2) 78
(66,1) (66,2) 121
(67,1) (67,2) 145
(68,1) (68,2) 119
(69,1) (69,2) 134
(70,1) (70,2) 78
(71,1) (71,2) 105
(72,1) (72,2) 4
(73,1) (73,2) 69
(74,1) (74,2) 32
(75,1) (75,2) 16
(76,1) (76,2) 110
(77,1) (77,2) 64
(78,1) (78,2) 97
(79,1) (79,2) 25
(80,1) (80,2) 136
(81,1) (81,2) 80
(82,1) (82,2) 90
(83,1) (83,2) 38
(84,1) (84,2) 8
(85,1) (85,2) 33
(86,1) (86,2) 97
(87,1) (87,2) 146
(88,1) (88,2) 129
(89,1) (89,2) 5
(90,1) (90,2) 102
(91,1) (91,2) 27
(92,1) (92,2) 99
(93,1) (93,2) 75
(94,1) (94,2) 147
(95,1) (95,2) 61
(96,1) (96,2) 31
(97,1) (97,2) 136
(98,1) (98,2) 99
(99,1) (99,2) 7
(100,1) (100,2) 26
(101,1) (101,2) 32
(102,1) (102,2) 110
(103,1) (103,2) 54
(104,1) (104,2) 95
(105,1) (105,2) 117
(106,1) (106,2) 45
(107,1) (107,2) 87
(108,1) (108,2) 139
(109,1) (109,2) 129
(110,1) (110,2) 66
(111,1) (111,2) 80
(112,1) (112,2) 107
(113,1) (113,2) 2
(114,1) (114,2) 14
(115,1) (115,2) 66
(116,1) (116,2) 50
(117,1) (117,2) 42
(118,1) (118,2) 128
(119,1) (119,2) 44
(120,1) (120,2) 61
(121,1) (121,2) 14
(122,1) (122,2) 147
(123,1) (123,2) 91
(124,1) (124,2) 92
(125,1) (125,2) 35
(126,1) (126,2) 108
(127,1) (127,2) 66
(128,1) (128,2) 52
(129,1) (129,2) 66
(130,1) (130,2) 134
(131,1) (131,2) 82
(132,1) (132,2) 29
(133,1) (133,2) 70
(134,1) (134,2) 24
(135,1) (135,2) 101
(136,1) (136,2) 62
(137,1) (137,2) 23
(138,1) (138,2) 11
(139,1) (139,2) 143
(140,1) (140,2) 51
(141,1) (141,2) 46
(142,1) (142,2) 56
(143,1) (143,2) 20
(144,1) (144,2) 150
(145,1) (145,2) 5
(146,1) (146,2) 33
(147,1) (147,2) 128
(148,1) (148,2) 6
(149,1) (149,2) 61
(150,1) (150,2) 64
(151,1) (151,2) 7
(152,1) (152,2) 27
(153,1) (153,2) 137
(154,1) (154,2) 136
(155,1) (155,2) 150
(156,1) (156,2) 47
(157,1) (157,2) 145
(158,1) (158,2) 47
(159,1) (159,2) 64
(160,1) (160,2) 49
(161,1) (161,2) 75
(162,1) (162,2) 125
(163,1) (163,2) 32
(164,1) (164,2) 31
(165,1) (165,2) 93
(166,1) (166,2) 74
(167,1) (167,2) 120
(168,1) (168,2) 108
(169,1) (169,2) 54
(170,1) (170,2) 44
(1,2) (1,3) 150
(2,2) (2,3) 120
(3,2) (3,3) 85
(4,2) (4,3) 24
(5,2) (5,3) 136
(6,2) (6,3) 42
(7,2) (7,3) 9
(8,2) (8,3) 92
(9,2) (9,3) 56
(10,2) (10,3) 127
(11,2) (11,3) 143
(12,2) (12,3) 83
(13,2) (13,3) 84
(14,2) (14,3) 2
(15,2) (15,3) 136
(16,2) (16,3) 90
(17,2) (17,3) 32
(18,2) (18,3) 96
(19,2) (19,3) 148
(20,2) (20,3) 114
(21,2) (21,3) 104
(22,2) (22,3) 96
(23,2) (23,3) 13
(24,2) (24,3) 125
(25,2) (25,3) 104
(26,2) (26,3) 144
(27,2) (27,3) 39
(28,2) (28,3) 7
(29,2) (29,3) 78
(30,2) (30,3) 128
(31,2) (31,3) 134
(32,2) (32,3) 134
(33,2) (33,3) 42
(34,2) (34,3) 150
(35,2) (35,3) 28
(36,2) (36,3) 120
(37,2) (37,3) 17
(38,2) (38,3) 34
(39,2) (39,3) 6
(40,2) (40,3) 48
(41,2) (41,3) 119
(42,2) (42,3) 5
(43,2) (43,3) 31
(44,2) (44,3) 53
(45,2) (45,3) 124
(46,2) (46,3) 55
(47,2) (47,3) 148
(48,2) (48,3) 56
(49,2) (49,3) 68
(50,2) (50,3) 84
(51,2) (51,3) 120
(52,2) (52,3) 12
(53,2) (53,3) 12
(54,2) (54,3) 28
(55,2) (55,3) 145
(56,2) (56,3) 8
(57,2) (57,3) 82
(58,2) (58,3) 130
(59,2) (59,3) 81
(60,2) (60,3) 100
(61,2) (61,3) 79
(62,2) (62,3) 39
(63,2) (63,3) 113
(64,2) (64,3) 79
(65,2) (65,3) 64
(66,2) (66,3) 118
(67,2) (67,3) 81
(68,2) (68,3) 141
(69,2) (69,3) 122
(70,2) (70,3) 123
(71,2) (71,3) 24
(72,2) (72,3) 26
(73,2) (73,3) 9
(74,2) (74,3) 7
(75,2) (75,3) 139
(76,2) (76,3) 98
(77,2) (77,3) 91
(78,2) (78,3) 10
(79,2) (79,3) 93
(80,2) (80,3) 92
(81,2) (81,3) 90
(82,2) (82,3) 99
(83,2) (83,3) 2
(84,2) (84,3) 119
(85,2) (85,3) 45
(86,2) (86,3) 82
(87,2) (87,3) 114
(88,2) (88,3) 106
(89,2) (89,3) 84
(90,2) (90,3) 18
(91,2) (91,3) 117
(92,2) (92,3) 39
(93,2) (93,3) 55
(94,2) (94,3) 96
(95,2) (95,3) 133
(96,2) (96,3) 4
(97,2) (97,3) 115
(98,2) (98,3) 43
(99,2) (99,3) 59
(100,2) (100,3) 98
(101,2) (101,3) 115
(102,2) (102,3) 58
(103,2) (103,3) 1
(104,2) (104,3) 39
(105,2) (105,3) 114
(106,2) (106,3) 81
(107,2) (107,3) 86
(108,2) (108,3) 84
(109,2) (109,3) 136
(110,2) (110,3) 142
(111,2) (111,3) 9
(112,2) (112,3) 92
(113,2) (113,3) 126
(114,2) (114,3) 66
(115,2) (115,3) 89
(116,2) (116,3) 64
(117,2) (117,3) 27
(118,2) (118,3) 111
(119,2) (119,3) 52
(120,2) (120,3) 8
(121,2) (121,3) 90
(122,2) (122,3) 20
(123,2) (123,3) 44
(124,2) (124,3) 67
(125,2) (125,3) 27
(126,2) (126,3) 124
(127,2) (127,3) 64
(128,2) (128,3) 146
(129,2) (129,3) 101
(130,2) (130,3) 143
(131,2) (131,3) 90
(132,2) (132,3) 79
(133,2) (133,3) 118
(134,2) (134,3) 120
(135,2) (135,3) 80
(136,2) (136,3) 105
(137,2) (137,3) 115
(138,2) (138,3) 102
(139,2) (139,3) 72
(140,2) (140,3) 110
(141,2) (141,3) 70
(142,2) (142,3) 77
(143,2) (143,3) 128
(144,2) (144,3) 19
(145,2) (145,3) 63
(146,2) (146,3) 89
(147,2) (147,3) 116
(148,2) (148,3) 50
(149,2) (149,3) 17
(150,2) (150,3) 5
(151,2) (151,3) 124
(152,2) (152,3) 22
(153,2) (153,3) 34
(154,2) (154,3) 94
(155,2) (155,3) 15
(156,2) (156,3) 28
(157,2) (157,3) 136
(158,2) (158,3) 68
(159,2) (159,3) 116
(160,2) (160,3) 91
(161,2) (161,3) 32
(162,2) (162,3) 147
(163,2) (163,3) 97
(164,2) (164,3) 61
(165,2) (165,3) 140
(166,2) (166,3) 86
(167,2) (167,3) 137
(168,2) (168,3) 148
(169,2) (169,3) 19
(170,2) (170,3) 97
(1,3) (1,4) 65
(2,3) (2,4) 121
(3,3) (3,4) 27
(4,3) (4,4) 140
(5,3) (5,4) 39
(6,3) (6,4) 19
(7,3) (7,4) 73
(8,3) (8,4) 20
(9,3) (9,4) 6
(10,3) (10,4) 67
(11,3) (11,4) 108
(12,3) (12,4) 135
(13,3) (13,4) 33
