s (1,1) 62
s (2,1) 164
s (3,1) 481
s (4,1) 37
s (5,1) 365
s (6,1) 100
s (7,1) 231
s (8,1) 280
s (9,1) 67
s (10,1) 357
s (11,1) 328
s (12,1) 188
s (13,1) 52
s (14,1) 454
s (15,1) 453
s (16,1) 160
s (17,1) 480
s (18,1) 290
s (19,1) 148
s (20,1) 136
s (21,1) 26
s (22,1) 476
s (23,1) 347
s (24,1) 453
s (25,1) 392
s (26,1) 113
s (27,1) 175
s (28,1) 320
s (29,1) 152
s (30,1) 243
s (31,1) 116
s (32,1) 117
s (33,1) 214
s (34,1) 359
s (35,1) 370
s (36,1) 466
s (37,1) 389
s (38,1) 467
s (39,1) 425
s (40,1) 244
s (41,1) 124
s (42,1) 123
s (43,1) 238
s (44,1) 346
s (45,1) 381
s (46,1) 93
s (47,1) 125
s (48,1) 257
s (49,1) 220
s (50,1) 115
s (51,1) 263
s (52,1) 253
s (53,1) 171
s (54,1) 453
s (55,1) 365
s (56,1) 234
s (57,1) 271
s (58,1) 244
s (59,1) 412
s (60,1) 93
s (61,1) 259
s (62,1) 19
s (63,1) 305
s (64,1) 326
s (65,1) 40
s (66,1) 288
s (67,1) 473
s (68,1) 103
s (69,1) 72
s (70,1) 3
s (71,1) 61
s (72,1) 404
s (73,1) 289
s (74,1) 336
s (75,1) 367
s (76,1) 31
s (77,1) 27
s (78,1) 274
s (79,1) 48
s (80,1) 482
s (81,1) 302
s (82,1) 49
s (83,1) 399
s (84,1) 359
s (85,1) 445
s (86,1) 269
s (87,1) 388
s (88,1) 360
s (89,1) 335
s (90,1) 497
s (91,1) 114
s (92,1) 486
s (93,1) 304
s (94,1) 303
s (95,1) 160
s (96,1) 416
s (97,1) 326
s (98,1) 144
s (99,1) 282
s (100,1) 377
s (101,1) 91
s (102,1) 40
s (103,1) 356
s (104,1) 486
s (105,1) 394
s (106,1) 176
s (107,1) 15
s (108,1) 37
s (109,1) 101
s (110,1) 498
s (111,1) 192
s (112,1) 227
s (113,1) 149
s (114,1) 144
s (115,1) 107
s (116,1) 385
s (117,1) 369
s (118,1) 195
s (119,1) 392
s (120,1) 492
s (121,1) 486
s (122,1) 234
s (123,1) 430
s (124,1) 154
s (125,1) 200
s (126,1) 114
s (127,1) 160
s (128,1) 201
s (129,1) 103
s (130,1) 342
s (131,1) 182
