s (1,1) 311
s (2,1) 315
s (3,1) 463
s (4,1) 13
s (5,1) 356
s (6,1) 371
s (7,1) 191
s (8,1) 112
s (9,1) 497
s (10,1) 83
s (11,1) 345
s (12,1) 487
s (13,1) 442
s (14,1) 196
s (15,1) 163
s (16,1) 133
s (17,1) 255
s (18,1) 295
s (19,1) 433
s (20,1) 33
s (21,1) 244
s (22,1) 442
s (23,1) 232
s (24,1) 11
s (25,1) 388
s (26,1) 317
s (27,1) 158
s (28,1) 424
s (29,1) 407
s (30,1) 107
s (31,1) 463
s (32,1) 439
s (33,1) 461
s (34,1) 173
s (35,1) 123
s (36,1) 271
s (37,1) 416
s (38,1) 13
s (39,1) 427
s (40,1) 82
s (41,1) 242
s (42,1) 463
s (43,1) 271
s (44,1) 1
s (45,1) 424
s (46,1) 9
s (47,1) 41
s (48,1) 235
s (49,1) 115
s (50,1) 389
s (51,1) 155
s (52,1) 496
s (53,1) 29
s (54,1) 174
s (55,1) 423
s (56,1) 472
s (57,1) 500
s (58,1) 108
s (59,1) 296
s (60,1) 146
s (61,1) 294
s (62,1) 377
s (63,1) 337
s (64,1) 296
s (65,1) 293
s (66,1) 432
s (67,1) 310
s (68,1) 228
s (69,1) 175
s (70,1) 84
s (71,1) 179
s (72,1) 115
s (73,1) 246
s (74,1) 474
s (75,1) 161
s (76,1) 10
s (77,1) 381
s (78,1) 252
s (79,1) 252
s (80,1) 460
s (81,1) 383
s (82,1) 12
s (83,1) 211
s (84,1) 248
s (85,1) 46
s (86,1) 201
s (87,1) 300
s (88,1) 135
s (89,1) 101
s (90,1) 13
s (91,1) 239
s (92,1) 412
s (93,1) 67
s (94,1) 42
s (95,1) 346
s (96,1) 37
s (97,1) 39
s (98,1) 450
s (99,1) 127
s (100,1) 19
s (101,1) 39
s (102,1) 263
s (103,1) 262
s (104,1) 258
s (105,1) 253
s (106,1) 33
s (107,1) 79
s (108,1) 487
s (109,1) 218
s (110,1) 333
s (111,1) 52
s (112,1) 50
s (113,1) 423
